OSEBuildingID,BuildingType,PrimaryPropertyType,PropertyName,Address,City,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SiteEnergyUse(kBtu),DefaultData,ComplianceStatus,TotalGHGEmissions
26838,NonResidential,Hotel,Panama Hotel,605 S. Main St.,Seattle,DOWNTOWN,47.59983,-122.32598,1910,1.0,5,0,40552,Hotel,40552.0,1200180.875,False,Compliant,53.25
26847,NonResidential,Small- and Mid-Sized Office,KOBE PARK BUILDING,622 S Washington St,Seattle,DOWNTOWN,47.60105,-122.32542,1909,1.0,3,0,31432,Office,23059.0,1439572.375,False,Compliant,10.04
26849,NonResidential,Retail Store,C & T BLDG,650 S JACKSON STREET,Seattle,DOWNTOWN,47.59935,-122.32468,1917,1.0,2,0,24550,Retail Store,13500.0,977230.3125,False,Compliant,6.73
26883,NonResidential,Other,Washington Hall,153 14th Avenue,Seattle,CENTRAL,47.60285,-122.31458,1908,1.0,3,0,25864,Social/Meeting Hall,13364.0,1028277.313,False,Compliant,34.61
26905,NonResidential,Other,Kappa Alpha Theta,4521 17th Ave NE,Seattle,NORTHEAST,47.66192,-122.30998,1924,1.0,3,0,20686,Other - Lodging/Residential,20686.0,1207504.0,False,Compliant,42.71
26906,NonResidential,Residence Hall,4503,4503 17th Ave NE,Seattle,NORTHEAST,47.6617,-122.31007,1929,1.0,3,0,22124,Residence Hall/Dormitory,22124.0,637685.0,False,Compliant,4.45
26909,NonResidential,Residence Hall,Chi Omega Fraternity of Washington,4549 18th Ave. NE,Seattle,NORTHEAST,47.66289,-122.30863,1926,1.0,3,0,27487,Residence Hall/Dormitory,27487.0,1594504.875,False,Compliant,65.95
26911,NonResidential,Residence Hall,Sigma Chi Fraternity,4505 18th Ave NE,Seattle,NORTHEAST,47.66164,-122.30874,1926,1.0,4,0,23616,Residence Hall/Dormitory,23616.0,1656420.25,False,Compliant,53.65
26922,NonResidential,Residence Hall,Upstairs Downstairs Apartments,4538 18th AVE NE,Seattle,NORTHEAST,47.66238,-122.30801,1976,1.0,3,0,33448,Residence Hall/Dormitory,33448.0,998633.5,False,Compliant,6.96
26924,Nonresidential COS,Mixed Use Property,Yesler Community Center,917 E Yesler Way,Seattle,EAST,47.60153,-122.31986,2005,0.0,2,7120,22388,Other - Recreation,11074.0,2217620.0,False,Compliant,81.24
26930,NonResidential,Senior Care Community,Seattle Keiro,1601 E. Yesler Way,Seattle,CENTRAL,47.60133,-122.31088,1987,1.0,2,0,74840,Senior Care Community,74840.0,8268496.5,False,Compliant,249.46
26933,Nonresidential COS,Other,Langston Hughes Performing Arts Center,104 17th Ave South,Seattle,CENTRAL,47.60133,-122.31088,1913,1.0,3,0,20992,Performing Arts,24600.0,2473302.0,False,Compliant,104.74
26939,NonResidential,K-12 School,First Place,172 20th Ave,Seattle,CENTRAL,47.6032,-122.30596,1925,1.0,2,0,22344,K-12 School,22344.0,1522596.75,False,Compliant,55.23
26956,NonResidential,University,Kerry Hall,710 E. Roy St.,Seattle,EAST,47.62531,-122.32303,1921,1.0,3,0,31900,College/University,26000.0,2466100.0,False,Compliant,96.2
26961,Nonresidential COS,Other,Loyal Heights Community Center,2101 NW 77th St,Seattle,BALLARD,47.68475,-122.38257,1950,1.0,2,0,29417,Other - Recreation,18489.0,1631479.125,False,Compliant,56.25
26973,NonResidential,Mixed Use Property,New Central,657 South Weller Street,Seattle,DOWNTOWN,47.59737,-122.32487,1909,1.0,3,0,49299,Office,24099.0,4729846.5,False,Compliant,9.23
26986,NonResidential,Supermarket / Grocery Store,Admiral,2320 42nd Ave SW,Seattle,SOUTHWEST,47.58217,-122.38479,1997,1.0,1,0,31841,Supermarket/Grocery Store,30899.0,13140574.0,False,Compliant,404.21
26994,NonResidential,Mixed Use Property,Arboretum Court 2,3130 E Madison St,Seattle,EAST,47.627,-122.29153,1988,1.0,2,0,21036,Parking,11021.0,2735811.5,False,Compliant,78.36
26997,NonResidential,Mixed Use Property,Trader Joes/AAA,4555 Roosevelt Way NE,Seattle,NORTHEAST,47.66272,-122.31798,1999,1.0,2,0,32928,Parking,24288.0,5652231.0,False,Compliant,39.4
27013,NonResidential,Warehouse,Northwest Wholesale Florists,525 S Front Street,Seattle,GREATER DUWAMISH,47.54761,-122.32759,1960,1.0,1,0,44476,Non-Refrigerated Warehouse,41256.0,1368120.5,False,Compliant,29.7
27016,NonResidential,Small- and Mid-Sized Office,"Pacific Georgetown Center, LLC",6363 7th Ave S.,Seattle,GREATER DUWAMISH,47.54494,-122.32543,1969,1.0,1,0,35017,Office,19785.0,1295485.25,False,Compliant,27.06
27020,NonResidential,Residence Hall,Alpha Delta Pi Chapter House,1805 NE 47th,Seattle,NORTHEAST,47.66281,-122.30819,1950,1.0,3,0,29084,Residence Hall/Dormitory,26000.0,1632498.625,False,Compliant,60.83
27080,NonResidential,Worship Facility,Japanese Presbyterian Church,1801 24th Avenue South,Seattle,SOUTHEAST,47.58671,-122.30201,1963,1.0,2,0,22952,Worship Facility,22962.0,470666.6875,False,Compliant,19.28
27117,NonResidential,Warehouse,N W WAREHOUSE,6540 5TH PL S,Seattle,GREATER DUWAMISH,47.54443,-122.32688,1976,1.0,1,0,21040,Non-Refrigerated Warehouse,21040.0,592088.125,False,Compliant,19.14
27122,NonResidential,Warehouse,Cedar Heights,6535 5th Place South,Seattle,GREATER DUWAMISH,47.54491,-122.32758,1951,1.0,2,0,28032,Non-Refrigerated Warehouse,30000.0,1321065.0,False,Compliant,46.61
27131,NonResidential,Distribution Center,Pacific Rubber Inc,6720 E Marginal Way S,Seattle,GREATER DUWAMISH,47.54333,-122.32792,1974,1.0,1,0,25620,Distribution Center,25620.0,550324.1875,False,Compliant,20.46
27141,NonResidential,Warehouse,(ID27141) TSUE CHONG BUILDING,800 S Weller St,Seattle,DOWNTOWN,47.59775,-122.32219,1992,1.0,3,0,33238,Non-Refrigerated Warehouse,33238.0,1632472.0,False,Compliant,11.38
27142,NonResidential,K-12 School,St. James Cathedral Place,803 Terry,Seattle,EAST,47.60745,-122.32542,1912,1.0,4,0,27800,K-12 School,11093.0,1181428.75,False,Compliant,38.36
27162,NonResidential,Supermarket / Grocery Store,West Seattle Thriftway,4201 SW MORGAN ST,Seattle,SOUTHWEST,47.54427,-122.38609,1998,1.0,1,0,33706,Supermarket/Grocery Store,31746.0,8687690.0,False,Compliant,206.33
27184,NonResidential,Mixed Use Property,property #10,1050 w nickerson/1050 w Ewing st.,Seattle,MAGNOLIA / QUEEN ANNE,47.65532,-122.37133,1961,1.0,2,0,37600,Non-Refrigerated Warehouse,18400.0,2171751.5,False,Compliant,93.55
27205,SPS-District K-12,K-12 School,Viewlands Elementary,10525 3rd Ave. N.W.,Seattle,NORTHWEST,47.70597,-122.36113,1954,1.0,1,0,42128,K-12 School,42128.0,1709307.5,False,Compliant,49.55
27244,NonResidential,Other,Knights of Columbus,722 E Union St,Seattle,EAST,47.61314,-122.32262,1912,1.0,3,0,33708,Other,33708.0,786324.0,False,Compliant,19.61
